City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Lebu,0,ET,1547601000,69,8.96,38.73,51.8,2.1
Chimoio,40,MZ,1547604000,88,-19.11,33.48,71.6,2.51
Grindavik,20,IS,1547605800,73,63.84,-22.43,26.6,6.2
Mocuba,24,MZ,1547606943,91,-16.84,36.99,74.10200000000007,1.31
Elbistan,92,TR,1547606943,90,38.2,37.19,31.532000000000018,4.41
Kalemie,56,CD,1547606943,100,-5.95,29.2,72.75200000000008,1.76
Camocim,80,BR,1547606943,100,-2.9,-40.84,72.392,1.51
Hereford,92,GB,1547606649,94,52.06,-2.72,46.832000000000015,7.81
Broome,92,GB,1547605200,87,52.47,1.45,46.58000000000004,6.2
Urucara,88,BR,1547606944,80,-2.54,-57.76,79.50200000000008,1.41
Severo-Kurilsk,68,RU,1547606944,100,50.68,156.12,28.472000000000037,7.01
Sinnamary,92,GF,1547606965,98,5.38,-52.96,78.60200000000007,5.41
Olinda,90,EC,1547604000,74,-2.03,-79.75,80.6,1.0
Ambilobe,44,MG,1547606966,87,-13.19,49.05,67.80200000000008,1.21
Faya,0,SA,1547604000,39,18.39,42.45,51.8,1.21
Hobart,75,AU,1547604000,55,-42.88,147.33,66.2,6.7
Shaowu,100,CN,1547606969,100,27.34,117.49,40.622000000000035,1.16
Vila Franca do Campo,40,PT,1547604000,87,37.72,-25.43,60.8,3.1
Vanimo,32,PG,1547606970,98,-2.67,141.3,83.55200000000008,7.46
Ponta Delgada,40,PT,1547604000,87,37.73,-25.67,60.8,3.1
San Carlos de Bariloche,75,AR,1547604000,66,-41.13,-71.31,53.6,9.3
Buritis,36,BR,1547606970,78,-15.62,-46.42,72.12200000000004,1.06
Sena Madureira,24,BR,1547606971,96,-9.07,-68.66,74.642,0.91
Ribeira Grande,0,PT,1547606971,96,38.52,-28.7,61.86200000000006,3.06
Chukhloma,76,RU,1547606971,86,58.76,42.68,23.972000000000037,6.16
Dzaoudzi,0,YT,1547605800,83,-12.79,45.27,78.8,1.5
Ucar,40,AZ,1547604000,92,40.51,47.65,26.6,1.5
Robertsport,0,LR,1547606972,98,6.75,-11.37,84.00200000000008,4.91
Port Alfred,92,ZA,1547606972,100,-33.59,26.89,68.88200000000002,3.31
Puerto Suarez,12,BO,1547606973,73,-18.96,-57.8,80.85200000000007,1.56
Henties Bay,48,NA,1547606973,97,-22.12,14.28,63.30200000000008,3.91
Temirtau,75,KZ,1547605800,92,50.05,72.96,15.8,3.0
Sorland,48,NO,1547606973,100,67.67,12.69,31.172000000000036,0.76
Narsaq,80,GL,1547603400,79,60.91,-46.05,26.6,1.5
Hirara,75,JP,1547604000,100,24.8,125.28,66.2,4.6
Usagara,92,TZ,1547606974,100,-2.68,32.99,65.73200000000001,4.06
Paamiut,80,GL,1547606974,100,61.99,-49.67,29.372000000000035,13.01
Eureka,90,US,1547606100,100,40.8,-124.16,55.94000000000002,4.1
Ancud,40,CL,1547604000,93,-41.87,-73.83,48.2,2.31
Rock Springs,75,US,1547603640,79,41.59,-109.2,6.080000000000041,0.96
Luderitz,0,NA,1547606975,77,-26.65,15.16,61.412000000000056,2.31
Samoylovka,92,RU,1547606975,95,51.19,43.71,33.51200000000006,7.41
Tigil,8,RU,1547606975,74,57.8,158.67,-11.217999999999982,1.41
Nsanje,76,MZ,1547606975,69,-16.92,35.26,78.78200000000001,1.51
Tilichiki,0,RU,1547606976,33,60.47,166.1,-22.467999999999982,2.91
Leningradskiy,92,RU,1547606981,78,69.38,178.42,-0.6879999999999455,11.66
Xining,0,CN,1547606981,20,36.62,101.77,18.662000000000056,2.76
Lasa,90,CY,1547604000,72,34.92,32.53,59.0,10.3
Chokurdakh,8,RU,1547606982,0,70.62,147.9,-44.33799999999994,1.31
Hami,44,CN,1547606982,68,42.84,93.51,8.762000000000057,1.41
Port Macquarie,0,AU,1547604000,49,-31.43,152.91,91.4,6.7
Tomatlan,88,MX,1547606982,86,19.93,-105.25,72.21200000000006,0.91
Imeni Poliny Osipenko,44,RU,1547606982,62,52.42,136.49,-3.117999999999981,1.91
Ostrovnoy,80,RU,1547606691,75,68.05,39.51,12.722000000000037,2.31
Kaitangata,80,NZ,1547606983,67,-46.28,169.85,71.58200000000002,3.96
Thompson,5,CA,1547604000,74,55.74,-97.86,-23.799999999999955,2.6
Longyearbyen,20,NO,1547603400,70,78.22,15.63,1.3999999999999986,2.1
Buraydah,40,SA,1547604000,81,26.33,43.97,53.6,1.5
Opunake,0,NZ,1547606984,92,-39.45,173.86,65.10200000000007,9.06
Bathsheba,40,BB,1547604000,78,13.22,-59.52,77.0,5.7
Batu,20,ID,1547605800,78,-7.87,112.53,82.4,1.5
Sept-Iles,5,CA,1547604000,70,50.2,-66.38,-3.9999999999999503,2.6
Tiarei,20,PF,1547605800,66,-17.53,-149.33,87.8,5.7
Xingyi,80,CN,1547606985,94,24.19,102.82,47.372000000000035,1.46
Iquitos,75,PE,1547604000,94,-3.75,-73.25,75.2,1.41
Saint-Augustin,24,FR,1547604000,92,44.83,-0.61,32.0,1.36
Iskateley,88,RU,1547606985,83,67.68,53.15,14.522000000000038,1.56
Were Ilu,0,ET,1547606986,75,10.6,39.43,29.10200000000008,0.41
Greenwood,0,US,1547605200,82,32.03,-101.9,48.38000000000004,2.6
Inhambane,80,MZ,1547606986,93,-23.87,35.38,81.66200000000006,6.66
Vavoua,0,CI,1547606986,83,7.38,-6.48,72.21200000000006,1.56
Iseyin,32,NG,1547606987,89,7.97,3.6,73.47200000000004,1.26
Samarinda,76,ID,1547606987,79,-0.5,117.14,83.192,1.21
Asadabad,0,IR,1547603400,86,34.78,48.12,26.6,1.61
Mezen,92,RU,1547606987,92,65.85,44.24,22.802000000000078,1.96
Saint-Pierre,90,FR,1547604000,80,48.95,4.24,42.8,3.1
Nikolskoye,75,RU,1547605800,86,59.7,30.79,26.6,3.0
Marmande,0,FR,1547604000,100,44.5,0.16,28.4,2.6
Saint-Philippe,90,CA,1547606100,85,45.36,-73.48,27.5,3.1
Sankt Ingbert,75,DE,1547605200,69,49.28,7.12,40.64000000000002,5.1
Kununurra,0,AU,1547604000,59,-15.77,128.74,91.4,3.1
Gunjur,0,GM,1547604000,63,13.18,-16.76,66.2,3.6
Tuatapere,100,NZ,1547606989,60,-46.13,167.69,68.342,4.21
Seoul,75,KR,1547605800,44,37.57,126.98,24.8,1.5
Toora-Khem,12,RU,1547606990,29,52.47,96.11,-22.82799999999996,0.86
Vardo,1,US,1547605200,84,39.62,-77.74,32.0,4.1
Port Hardy,5,CA,1547604000,84,50.7,-127.42,39.2,3.1
Port Blair,20,IN,1547606995,100,11.67,92.75,81.57200000000003,7.61
Copiapo,90,CL,1547604000,77,-27.37,-70.33,62.6,3.1
Morondava,88,MG,1547606996,92,-20.3,44.28,81.21200000000006,1.66
Otofuke,40,JP,1547604000,49,43.02,143.2,26.6,6.7
Clyde River,1,CA,1547606340,74,70.47,-68.59,-27.399999999999956,3.1
Thul,12,PK,1547606997,86,28.24,68.77,50.97200000000004,2.56
Broken Hill,8,AU,1547604000,8,-31.97,141.45,111.2,9.3
Marawi,20,PH,1547606997,56,8.0,124.29,81.21200000000006,1.51
Torbay,90,CA,1547604000,100,47.66,-52.73,30.2,11.8
Padang,40,ID,1547605800,78,-0.92,100.36,80.6,2.6
Vostok,44,RU,1547606997,51,46.45,135.83,-0.3279999999999603,1.96
Faanui,92,PF,1547606998,100,-16.48,-151.75,84.27200000000003,6.16
Aksarka,44,RU,1547606998,73,66.56,67.8,-2.757999999999953,3.21
Okhotsk,64,RU,1547606998,99,59.36,143.24,-5.547999999999973,3.06
